constraint_name                                                |child_schema|child_table                        |child_column                 |parent_schema|parent_table              |parent_column|
lokafyer_payment_details_lokafyer_id_29144162_fk               |public      |lokafyer_payment_details           |lokafyer_id                  |public       |user_profile_lokafyer     |id           |
lokafyer_payment_details_payment_country_id_664325e3_fk        |public      |lokafyer_payment_details           |payment_country_id           |public       |country                   |id           |
lokafyer_payment_details_payment_method_id_88244854_fk         |public      |lokafyer_payment_details           |payment_method_id            |public       |payment_method            |id           |
lokafyer_payment_details_updated_by_id_a667f686_fk_user_id     |public      |lokafyer_payment_details           |updated_by_id                |public       |user                      |id           |
lokafyer_stats_created_by_id_a85a97c7_fk                       |public      |lokafyer_stats                     |created_by_id                |public       |user                      |id           |
lokafyer_stats_lokafyer_id_892f7866_fk                         |public      |lokafyer_stats                     |lokafyer_id                  |public       |user_profile_lokafyer     |id           |
lokafyer_stats_updated_by_id_cf90b13b_fk                       |public      |lokafyer_stats                     |updated_by_id                |public       |user                      |id           |
partner_created_by_id_fc9c473c_fk                              |public      |partner                            |created_by_id                |public       |user                      |id           |
partner_updated_by_id_0a0652b1_fk                              |public      |partner                            |updated_by_id                |public       |user                      |id           |
partner_account_created_by_id_dae09d7b_fk                      |public      |partner_account                    |created_by_id                |public       |user                      |id           |
partner_account_partner_id_23dac76a_fk                         |public      |partner_account                    |partner_id                   |public       |partner                   |id           |
partner_account_updated_by_id_1ad14f24_fk                      |public      |partner_account                    |updated_by_id                |public       |user                      |id           |
payment_method_countries_country_id_69e7288a_fk                |public      |payment_method_countries           |country_id                   |public       |country                   |id           |
payment_method_countries_paymentmethod_id_e352acb6_fk          |public      |payment_method_countries           |paymentmethod_id             |public       |payment_method            |id           |
product_city_id_84afa28c_fk                                    |public      |product                            |city_id                      |public       |city                      |id           |
product_created_by_id_0baf418a_fk                              |public      |product                            |created_by_id                |public       |user                      |id           |
product_partner_account_id_b1130296_fk                         |public      |product                            |partner_account_id           |public       |partner_account           |id           |
product_updated_by_id_f384b7dc_fk                              |public      |product                            |updated_by_id                |public       |user                      |id           |
request_token_requesttoken_user_id_f43ca84b_fk                 |public      |request_token_requesttoken         |user_id                      |public       |user                      |id           |
request_token_reques_token_id_55d46cdb_fk_request_t            |public      |request_token_requesttokenlog      |token_id                     |public       |request_token_requesttoken|id           |
request_token_requesttokenlog_user_id_d3304808_fk              |public      |request_token_requesttokenlog      |user_id                      |public       |user                      |id           |
transaction_detail_transaction_id_9e512460_fk                  |public      |transaction_detail                 |transaction_id               |public       |transaction               |id           |
transaction_detail_user_id_f5dca0b6_fk                         |public      |transaction_detail                 |user_id                      |public       |user                      |id           |
traveler_contact_user_id_af40596c_fk                           |public      |traveler_contact                   |user_id                      |public       |user_profile_traveler     |id           |
